"Hi! This is the spreadsheet for amberpica's unoffical ""early letters"" post. (I am not amberpica, just a friendly anonymous Yuletider.) There will be a 2nd letters post starting on the 17th. Happy Yuletiding!",,,,,,,,
"[Newbies: Do post your letter again in the 2nd letters post on the 17th! :) This spreadsheet will stay up, but it's okay to post in that letters post as well. And welcome to Yuletide. <3]",,,,,,,,
,,"""Early Letters"" Post: http://yuletide.livejournal.com/1203132.html",,,,,,
,Wayfarers,http://vel.dreamwidth.org/2599.html,A Clockwork Orange (1971),Funny Games (2007),Hobo with a Shotgun (2011),The Purge (2013),Gotham (TV),
,Croik,http://croik.livejournal.com/125314.html,Sarai-ya Goyou | House of Five Leaves,Sengoku Basara,Samurai Warriors,Warriors Orochi,Transistor,Muramasa: The Demon Blade
,Firerose,http://firerose.dreamwidth.org/9774.html,Hinterland/Y Gwyll,Sharing Knife - Lois McMaster Bujold,Wives and Daughters - Elizabeth Gaskell,,,
,gaialux,http://jalu2.dreamwidth.org/4554.html,Never Tear Us Apart: The Untold Story Of INXS (2014),Inglourious Basterds (2009),Tennis RPF,Futurama,The Simpsons,Happy Days
,specialrhino,http://shifty-gardener.livejournal.com/173281.html,Sungkyunkwan Scandal,Goon (2011),The Master and Margarita - Mikhail Bulgakov,Captive Prince - S. U. Pacat,,
Page 3,cookinguptales,http://cookinguptales.dreamwidth.org/62493.html,Daria (Cartoon),Hark! A Vagrant,Bend It Like Beckham (2002),Hot Fuzz (2007),The Muppet Show,"Cornetto ""40 - love"" Commercial"
,ElStaplador,http://el-staplador.dreamwidth.org/407888.html,Dickson McCunn novels - John Buchan,Zenda novels - Anthony Hope,A Company of Swans - Eva Ibbotso,,,
,Kharasma,http://kharamagic.dreamwidth.org/1082.html,Girl Meets World,Homestar Runner,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Live Action TV),Wreck-it Ralph (2012),,
,calliopes_pen,http://calliopes-pen.dreamwidth.org/918329.html,Bewitched,Dark Shadows (1991),Ghostbusters (Movies),Legend (1985),Mockingbird Lane,Sleepy Hollow (TV)
,Fells,http://skybearer.livejournal.com/2032.html,Dark Souls,Steven Erikson - Malazan Book of the Fallen,Magic: The Gathering,Legacy of Kain,,
,Doyle,http://doyle.dreamwidth.org/478166.html,Arrested Development,The Brady Bunch Movie (1995),Parks and Recreation,When in Rome (2010),,
,SegaBarrett,http://sydpenguinbunny.livejournal.com/205628.html,Breaking Bad,Copper,Hell on Wheels,Wiseguy,Clarissa ,Friday Night Lights
,Deepdarkwaters,http://deep-dark-waters.dreamwidth.org/1849.html,Conscientious Objector - Edna St. Vincent Millay (Poem),Elizabeth Parker's Sampler,Treeful of Starling - Hawksley Workman (Album),The War of the Worlds - H. G. Wells,,
,yaseanne,http://tamanth.livejournal.com/150352.html,The Secret Life of Walter Mitty (2013),Jurassic Park (Movies),Fallen London | Echo Bazaar,,,
,Vettel,http://brodin.dreamwidth.org/1092.html,Goon (2011),RocknRolla (2008),Skins (UK),,,
,cordialcount,http://cordialcount.dreamwidth.org/21015.html,Hilary Tamar Mysteries - Sarah Caudwell,The Culture - Iain M. Banks,Alliance-Union - C. J. Cherryh,Takeshi Kovacs Trilogy - Richard Morgan,,
,Doranwen,http://doranwen.livejournal.com/246454.html,Sue Thomas F.B.Eye,1-800-Missing (TV),Tomorrow When the War Began (2010),Women's Murder Club (TV),Walker Texas Ranger (TV),
,Nerissa,http://noor-us-sabah.livejournal.com/10088.html,Newsflesh Trilogy - Mira Grant,Hansel and Gretel: Witch Hunters (2013),On the Run - Gordon Korman,All I Want For Christmas (1991),Round and Round – Selena Gomez Music Video,
,raspberryhunter,http://raspberryhunter.dreamwidth.org/22366.html,Preiddeu Annwn (The Spoils of Annwn),Church Going - Philip Larkin (poem),The Instrumentality of Man - Cordwainer Smith,,,
